nodeno;cou;sta;dena;z6;share_L;share_h;ror;pv;on;off;bio;geo;Lat;Long;Lat, Long war in ELMOD-DE vertauscht;dena
n079;DE;DE_BB;dena81;DE_NE;0.002;0.002;0;305;396;0;44;0;52.405;12.5;0;81
n080;DE;DE_NRW;dena23;DE_NW;0.002;0.002;0;48;114;0;21;0;52.403;8.939;0;23
n081;DE;DE_NI;dena23;DE_NW;0.003;0.004;0;14;12;0;7;0;52.382;9.918;0;23
n082;DE;DE_NRW;dena23;DE_NW;0.002;0.002;7;36;23;0;5;0;52.38;8.996;0;23
n083;DE;DE_NI;dena23;DE_NW;0.003;0.003;0;67;149;0;34;0;52.368;10.761;0;23
n084;DE;DE_NI;dena23;DE_NW;0.003;0.003;0;67;162;0;22;0;52.36;9.522;0;23
n085;DE;DE_NI;dena71;DE_NW;0.002;0.002;0;78;56;0;17;0;52.346;8.309;0;71
n086;DE;DE_NI;dena23;DE_NW;0.003;0.004;0;16;98;0;9;0;52.314;10.088;0;23
n087;DE;DE_NI;dena23;DE_NW;0.003;0.003;0;32;35;0;15;0;52.302;10.505;0;23
n088;DE;DE_NI;dena23;DE_NW;0.003;0.004;0;28;172;0;18;0;52.293;10.235;0;23
n089;DE;DE_NRW;dena71;DE_NW;0.003;0.003;0;0;0;0;0;0;52.288;7.748;0;71
n090;DE;DE_NI;dena23;DE_NW;0.002;0.003;0;12;7;0;6;0;52.285;10.369;0;23
n091;DE;DE_NI;dena23;DE_NW;0.003;0.004;3;28;141;0;6;0;52.278;9.917;0;23
n092;DE;DE_NRW;dena23;DE_NW;0.002;0.002;0;20;8;0;3;0;52.278;8.959;0;23
n093;DE;DE_NRW;dena71;DE_NW;0.003;0.003;0;158;87;0;65;0;52.277;7.727;0;71
n094;DE;DE_NRW;dena71;DE_NW;0.003;0.002;0;117;87;0;21;0;52.277;7.89;0;71
n095;DE;DE_ST;dena81;DE_NE;0.002;0.002;0;57;176;0;12;0;52.269;11.638;0;81
n096;DE;DE_NI;dena71;DE_NW;0.002;0.002;0;57;39;0;15;0;52.264;8.104;0;71
n097;DE;DE_NI;dena23;DE_NW;0.002;0.003;0;7;37;0;0;0;52.237;10.421;0;23
